CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status,Risk Class
14000327,Man,900,43.5,135,824.89,53.12,960.5,0,Active,LowRisk
14000313,Man,600,8.34,62.55,61.9,0.65,62.55,0,Active,LowRisk
14000296,Man,500,75.75,45,486.54,1.16,487.7,0,Active,LowRisk
14000287,Man,300,27.29,45,62.35,0.1,62.45,0,Active,LowRisk
14000228,Man,300,46.54,105,349.11,18.19,301.66,0,Active,LowRisk
14001565,Man,600,48.73,90,594.79,19.51,662.05,0,Active,LowRisk
14001555,Woman,700,48.13,105,697.35,50.99,790.08,0,Active,LowRisk
14001454,Woman,500,82.17,75,342.11,7.36,349.47,0,Active,LowRisk
14001537,Man,800,267.79,120,799.92,22.08,822,0,Active,LowRisk
14001451,Man,500,492.14,75,491.8,14.75,506.55,0,Active,LowRisk
14001418,Woman,300,70.61,45,275.28,10.23,313.04,0,Active,LowRisk
14001421,Man,300,25.5,18.43,18.13,0.3,18.43,0,Active,LowRisk
14001476,Man,600,42.6,90,589.5,21.72,667.07,0,Active,LowRisk
14001147,Man,600,44.47,90,535.11,19.85,608.47,0,Active,LowRisk
14001382,Woman,300,66.72,45,236.78,8.7,269.16,0,Active,LowRisk
14001377,Man,500,33.79,75,460.78,14.15,511.02,0,Active,LowRisk
14001419,Woman,500,72.76,75,385.22,12.45,427.96,0,Active,LowRisk
14001386,Man,500,14.93,75,438.84,14.25,487.8,0,Active,LowRisk
14001365,Man,600,103.61,90,599.88,44.59,675.45,0,Active,LowRisk
14001215,Man,800,107.79,120,751.83,27.83,853.59,0,Active,LowRisk
14001385,Man,600,222.15,90,899.72,4.68,604.32,0,Active,LowRisk
14001375,Man,300,19,45,227.41,8.38,258.53,0,Active,LowRisk
14001130,Woman,300,31.91,45,294.36,10.82,332.84,0,Active,LowRisk
14001348,Man,600,12.01,90,243.01,1.18,244.19,0,Active,LowRisk
14001135,Man,800,231.31,120,800,27.84,827.84,0,Active,LowRisk
14000876,Woman,500,18.24,75,363.11,13.62,413.04,0,Active,LowRisk
14001316,Man,500,48.86,75,413.24,11.11,432.9,0,Active,LowRisk
14001246,Man,800,39.98,120,347.04,2.84,349.88,0,Active,LowRisk
14001317,Woman,600,96.95,90,597.3,19.44,667.18,0,Active,LowRisk
14001347,Man,600,38.92,90,452.98,16.45,512.52,0,Active,LowRisk
14001335,Man,600,42.47,90,596.55,13.89,610.44,0,Active,LowRisk
14001318,Man,500,63.09,75,497.59,17.67,560.7,0,Active,LowRisk
14001309,Woman,900,33.58,135,896.83,33.32,1018.8,0,Active,LowRisk
14001296,Man,500,47.37,75,107.75,3.5,111.25,0,Active,LowRisk
14001008,Woman,600,23.86,90,597.34,21.37,665.45,0,Active,LowRisk
14001208,Woman,1000,37.95,150,918.86,25.22,1000.15,0,Active,LowRisk
14001345,Woman,700,45.71,105,671.8,25.09,764.07,0,Active,LowRisk
14001259,Man,500,15.72,75,498.98,37.09,551.53,0,Active,LowRisk
14001203,Man,700,19.7,105,299.75,5.56,305.31,0,Active,LowRisk
14001227,Man,600,45.68,90,555.45,20.75,631.75,0,Active,LowRisk
14001141,Woman,400,44.49,60,89.2,1.01,90.21,0,Active,LowRisk
14000986,Man,800,77.41,120,702.55,26.06,798.87,0,Active,LowRisk
14001233,Man,900,103.43,135,900,33.32,1021.93,0,Active,LowRisk
14001151,Man,500,48.33,75,495.46,18.18,561.9,0,Active,LowRisk
14001281,Woman,600,63.03,90,164.24,6.19,186.85,0,Active,LowRisk
14001138,Man,700,27.58,105,699.75,25.38,784.07,0,Active,LowRisk
14001278,Man,600,122.18,90,491.56,18.29,559.01,0,Active,LowRisk
14001242,Man,900,67.07,135,895.47,65.94,972.25,0,Active,LowRisk
14001236,Woman,500,35.72,75,491.86,16.28,547.64,0,Active,LowRisk
14001263,Man,600,26.86,90,599.81,109.5,816.68,0,Active,LowRisk
14001269,Man,300,27.04,45,294.78,111.72,433.34,0,Active,LowRisk
14001198,Woman,600,42.06,90,480.99,17.49,540.67,0,Active,LowRisk
14001143,Man,400,18.81,60,385.85,8.79,394.64,0,Active,LowRisk
14001172,Man,400,31.99,60,399.57,10.97,410.54,0,Active,LowRisk
14001189,Man,800,86.98,120,797.72,29.73,906.06,0,Active,LowRisk
14001211,Woman,500,48,75,498.39,10.3,508.69,0,Active,LowRisk
14001199,Man,700,77.39,105,638.03,17.95,698.46,0,Active,LowRisk
14001111,Man,800,26.73,120,792.54,28.65,893.67,0,Active,LowRisk
14001108,Woman,600,22.32,90,599.06,21.65,667.53,0,Active,LowRisk
14001047,Man,500,20.26,75,494.38,18.27,561.42,0,Active,LowRisk
14001187,Woman,500,167.68,75,399.52,12.48,412,0,Active,LowRisk
14001144,Man,600,38.31,90,586.95,17.94,604.89,0,Active,LowRisk
14001037,Woman,400,19.4,60,389.6,14.55,442.91,0,Active,LowRisk
14001131,Man,300,29.28,45,272.2,10.11,308.83,0,Active,LowRisk
14001112,Woman,300,22.12,45,294.76,9.26,326.01,0,Active,LowRisk
14001190,Woman,600,23.8,90,594.23,21.89,673.7,0,Active,LowRisk
14000992,Woman,300,32.6,45,547.68,11.95,249,0,Active,LowRisk
14001099,Woman,700,28.63,105,684.31,25.25,775.29,0,Active,LowRisk
14000830,Man,600,34.71,90,599.87,9.36,609.23,0,Active,LowRisk
14000768,Man,500,39.73,75,413.1,15.2,469.14,0,Active,LowRisk
14001087,Man,300,44.58,45,283.2,0.34,283.54,0,Active,LowRisk
14001046,Man,600,37.66,90,599.79,21.74,677.91,0,Active,LowRisk
14001066,Woman,300,15.09,45,299.63,87.31,577.23,0,Active,LowRisk
14001018,Man,1200,196.01,180,1197.87,40.71,1339.1,0,Active,LowRisk
14001067,Man,300,63.37,45,284,8.3,292.3,0,Active,LowRisk
14001104,Man,600,49.14,90,543.91,47.01,590.92,0,Active,LowRisk
14000979,Woman,400,32.11,60,384.81,0.92,385.73,0,Blocked by Customer,LowRisk
14001033,Man,800,309.38,120,798.04,29.51,897.35,0,Active,LowRisk
14000586,Woman,500,31.51,75,255.57,6.45,262.02,0,Active,LowRisk
14000976,Man,700,37.53,105,686.12,17.74,722.44,0,Active,LowRisk
14000970,Woman,300,36.47,45,287.05,10.56,326.32,0,Active,LowRisk
14001009,Man,300,89.06,45,290.9,10.85,330.84,0,Active,LowRisk
14001016,Woman,800,47.92,120,796.73,29.42,903.82,0,Active,LowRisk
14000981,Woman,800,64.42,120,799.03,24.97,824,0,Active,LowRisk
14001028,Woman,1100,54.78,165,1094.15,40.2134,1237.57,0,Active,LowRisk
14001000,Woman,700,23.47,105,698.82,25.89,792.84,0,Active,LowRisk
14000855,Man,500,58.85,75,460.52,16.68,520.28,0,Active,LowRisk
14000966,Man,400,30.83,60,400,14.83,454.06,0,Active,LowRisk
14000811,Man,300,73.46,45,296.49,8.56,305.05,0,Active,LowRisk
14000904,Man,500,31.04,75,260.42,9.62,296.08,0,Active,LowRisk
14000892,Woman,600,124.99,90,591.75,17.04,608.79,0,Active,LowRisk
14000886,Man,500,72.3,75,482.52,17.98,548.75,0,Active,LowRisk
14000922,Woman,300,22.1,45,287.36,10.56,326.66,0,Active,LowRisk
14000872,Man,600,35.87,14.34,14.32,0.02,14.34,0,Active,LowRisk
14000826,Man,300,30.34,45,299.83,71.91,440.64,0,Active,LowRisk
14000824,Man,600,32.15,90,598.33,11.45,609.78,0,Active,LowRisk
14000866,Man,300,22.34,45,289.78,10.84,329.6,0,Active,LowRisk
14000845,Woman,600,24.12,90,581.83,21.68,661.69,0,Active,LowRisk
14000781,Man,600,400.33,90,592.5,19.88,612.38,0,Active,LowRisk
14000690,Woman,700,39.67,105,571.86,21.37,650.42,0,Active,LowRisk
14000842,Man,500,40.75,75,494.9,18.15,561.14,0,Active,LowRisk
14000773,Man,900,19.34,135,896.29,33.4,1018.35,0,Active,LowRisk
14000799,Woman,500,28.7,75,500,17.4,517.4,0,Active,LowRisk
14000827,Woman,600,13.87,90,566.98,12.93,579.91,0,Active,LowRisk
14000822,Woman,400,10.91,60,398.96,14.6,452.43,0,Active,LowRisk
14000833,Man,500,77.1,75,371.73,13.93,422.83,0,Active,LowRisk
14000756,Man,600,33.55,90,556.53,19.99,627.25,0,Active,LowRisk
14000697,Woman,600,76.34,55.3,54.74,0.56,55.3,0,Active,LowRisk
14000668,Man,300,31.74,45,258.59,9.61,294.06,0,Active,LowRisk
14000609,Man,300,32.48,45,299.16,84.21,402.13,0,Active,LowRisk
14000462,Man,800,35.76,120,777.48,27.99,871.72,0,Active,LowRisk
14000565,Man,300,13.25,45,297.62,10.92,337.35,0,Active,LowRisk
14000468,Man,500,40.3,75,496.42,18.54,561.31,0,Active,LowRisk
14000436,Man,500,52.07,45,465.92,17.36,529.87,0,Active,LowRisk
14000388,Woman,500,41.17,75,236.27,8.7,268.6,0,Active,LowRisk
14000423,Man,300,12.03,45,180.41,5.13,191.8,0,Active,LowRisk
14000281,Man,300,30.99,45,230,2.8,232.8,0,Active,LowRisk
14000213,Woman,300,39.94,23.33,23.3,0.03,23.33,0,Active,LowRisk
14000143,Man,300,30.49,45,299.7,7.2,306.9,0,Active,LowRisk
14002137,Man,400,26.49,60,321.81,12.07,366.06,0,Active,LowRisk
14002109,Man,700,237.84,105,695.8,24.07,719.87,0,Active,LowRisk
14002117,Man,500,32.23,75,433.09,1.02,434.11,0,Active,LowRisk
14002067,Man,300,39.7,45,292.19,15.85,332.26,0,Active,LowRisk
14002075,Man,800,32.78,120,798.49,87.85,922.72,0,Active,LowRisk
14001983,Man,500,65.74,75,474.51,5.16,479.67,0,Active,LowRisk
14002085,Man,500,52.29,75,500,54.66,563.38,0,Active,LowRisk
14002050,Man,700,153.72,105,605.39,22.61,688.54,0,Active,LowRisk
14001925,Woman,400,83.56,60,310.59,11.48,353.13,0,Active,LowRisk
14002021,Man,500,30.83,75,465.31,15.2,510.45,0,Active,LowRisk
14002027,Man,400,38.35,60,382.66,14.26,435.19,0,Active,LowRisk
14001973,Man,500,131.43,75,489.5,16.7,506.2,0,Active,LowRisk
14002016,Man,500,17.14,75,474.59,34.34,546.35,0,Active,LowRisk
14002033,Man,500,61.95,75,487.13,17.84,551.05,0,Active,LowRisk
14001698,Man,500,23.09,75,147.76,3,157.74,0,Active,LowRisk
14002034,Man,500,29.69,75,342.26,9.91,352.17,0,Active,LowRisk
14001920,Man,500,68.52,75,478.54,17.69,544.08,0,Active,LowRisk
14001908,Woman,700,18.35,105,689.15,25.71,783.78,0,Active,LowRisk
14001955,Man,900,201.96,135,890.97,32.73,1007.53,0,Active,LowRisk
14002007,Man,800,51.05,120,797.68,23.04,820.72,0,Active,LowRisk
14001992,Man,700,76.9,105,698.62,70.13,853.47,0,Active,LowRisk
14001984,Woman,300,26.97,45,283.27,21.08,324.01,0,Active,LowRisk
14001954,Man,500,40.67,75,499.97,18.59,567.73,0,Active,LowRisk
14001949,Man,600,88.2,90,493.69,2.07,495.76,0,Active,LowRisk
14001986,Woman,500,19.52,75,495.66,108.13,775.79,0,Active,LowRisk
14001979,Man,400,67.89,60,365.79,13.63,416,0,Blocked by Customer,LowRisk
14001912,Woman,500,21.39,75,490.56,16.1,545.66,0,Active,LowRisk
14001832,Woman,900,57.7,135,891.66,31.83,1005.39,0,Active,LowRisk
14001966,Woman,400,36.49,60,397.44,28.53,464.24,0,Active,LowRisk
14001958,Man,500,6.9,75,498.59,18.53,566.34,0,Active,LowRisk
14001945,Man,600,30.26,90,243.2,5.04,248.24,0,Active,LowRisk
14001848,Man,300,25.96,45,280.34,6.92,291.99,0,Active,LowRisk
14001841,Woman,600,135.51,90,596.6,20.2,616.8,0,Active,LowRisk
14001942,Man,300,34.39,45,183.81,6.82,209.01,0,Active,LowRisk
14001895,Woman,400,9.57,60,398.1,12.26,424.38,0,Active,LowRisk
14001858,Woman,400,31.9,60,394.2,14.24,445.59,0,Active,LowRisk
14001910,Man,500,30.28,75,494.74,17.94,559,0,Active,LowRisk
14001919,Man,400,12.76,60,398.87,14.85,453.13,0,Active,LowRisk
14001913,Woman,600,34.73,90,593.68,19.61,643.25,0,Active,LowRisk
14001732,Man,500,80.69,75,479.36,17.94,544.76,0,Active,LowRisk
14001838,Man,300,71.37,45,297.21,10.29,334.97,0,Active,LowRisk
